,logrecno,provider_id,frn,providername,dbaname,holdingcompanyname,hoconum,hocofinal,stateabbr,blockcode,techcode,consumer,maxaddown,maxadup,business
977,66865981,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,TN,471859350003045,60,0,0.0,0.0,1
978,65786497,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",PA,421314005002031,60,1,2.0,1.3,1
979,52782770,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",KY,212039504003035,60,1,25.0,3.0,1
980,38914916,67056,1857952,"BellSouth Telecommunications, Inc.",AT&T Tennessee,AT&T Inc.,130077,AT&T Inc.,TN,471079706005091,70,1,10.0,1.0,0
981,38995915,67057,1551530,AT&T California,AT&T California,AT&T Inc.,130077,AT&T Inc.,CA,60070018002000,11,1,6.0,0.512,0
982,37160904,67054,2776771,Michigan Bell Telephone Company,AT&T Michigan,AT&T Inc.,130077,AT&T Inc.,MI,261635422001002,12,1,100.0,20.0,0
983,22649305,57146,10910446,"BelWave Communications, Inc.",BelWave Communications,"BelWave Communications, Inc.",300017,"BelWave Communications, Inc.",TX,480850305131007,70,0,0.0,0.0,1
984,10093475,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",CT,90034808001000,60,1,100.0,3.0,1
985,26988201,58623,25646373,"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,130235,Charter Communications,NC,371559615003005,43,1,940.0,35.0,1
986,7798396,55714,24383770,"Greenlight Networks, LLC",Greenlight Networks LLC,"Greenlight Networks, LLC",320047,"Greenlight Networks, LLC",NY,360550122023035,50,0,0.0,0.0,1
987,55512957,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,MN,270370601032006,60,0,0.0,0.0,1
988,24715292,57947,3571635,Mediacom Iowa LLC,Mediacom Iowa LLC,Mediacom Communications Corp.,130804,Mediacom Communications Corp.,IA,191010903002021,43,1,1000.0,50.0,1
989,36022032,64498,17117037,"Cherry Capital Connection, LLC","Cheryy Capital Connection, LLC","Cherry Capital Connection, LLC",210018,"Cherry Capital Connection, LLC",MI,260799503001020,70,1,25.0,25.0,1
990,47172531,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",FL,120860122002010,60,1,25.0,3.0,1
991,38853489,67056,1857952,"BellSouth Telecommunications, Inc.",AT&T Tennessee,AT&T Inc.,130077,AT&T Inc.,TN,471730401003001,12,1,50.0,10.0,0
992,843432,54225,1583350,Inland Telephone Company,Inland Networks,Western Elite Incorporated Services,130651,Western Elite Incorporated Services,WA,530750010001137,11,1,10.0,1.0,1
993,11637183,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",IL,171194002004022,60,1,100.0,3.0,1
994,48956287,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",ID,160010102212013,60,1,2.0,1.3,1
995,38343519,67056,1857952,"BellSouth Telecommunications, Inc.",AT&T Mississippi,AT&T Inc.,130077,AT&T Inc.,MS,280519501002050,11,1,12.0,0.512,0
996,36279471,67052,2860856,Illinois Bell Telephone Company,AT&T Illinois,AT&T Inc.,130077,AT&T Inc.,IL,171118708092065,10,1,6.0,0.512,0
997,46779983,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,FL,120990078352009,60,0,0.0,0.0,1
998,23411564,57383,13778857,"Liberty Cablevision of Puerto Rico, LLC",Liberty,Liberty Latin America,130741,Liberty Latin America,PR,720133011002007,42,1,400.0,30.0,1
999,55246934,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",MI,260639507001026,60,1,2.0,1.3,1
